Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_B12001_001,SE_B12001_002,SE_B12001_003,SE_B12001_004
"06037430200","14000US06037430200","Census Tract 4302","Census Tract 4302, Los Angeles County, California","ca","140","00","ACSSF","0005142",,,,,"06","037",,,,"430200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,59,321,440
"06037430301","14000US06037430301","Census Tract 4303.01","Census Tract 4303.01, Los Angeles County, California","ca","140","00","ACSSF","0005143",,,,,"06","037",,,,"430301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3212,160,1307,1745
"06037430302","14000US06037430302","Census Tract 4303.02","Census Tract 4303.02, Los Angeles County, California","ca","140","00","ACSSF","0005144",,,,,"06","037",,,,"430302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,257,2036,1708
"06037430400","14000US06037430400","Census Tract 4304","Census Tract 4304, Los Angeles County, California","ca","140","00","ACSSF","0005145",,,,,"06","037",,,,"430400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3281,157,1277,1847
"06037430501","14000US06037430501","Census Tract 4305.01","Census Tract 4305.01, Los Angeles County, California","ca","140","00","ACSSF","0005146",,,,,"06","037",,,,"430501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3161,15,1060,2086
"06037430502","14000US06037430502","Census Tract 4305.02","Census Tract 4305.02, Los Angeles County, California","ca","140","00","ACSSF","0005147",,,,,"06","037",,,,"430502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5278,122,2114,3042
"06037430600","14000US06037430600","Census Tract 4306","Census Tract 4306, Los Angeles County, California","ca","140","00","ACSSF","0005148",,,,,"06","037",,,,"430600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3238,204,957,2077
"06037430701","14000US06037430701","Census Tract 4307.01","Census Tract 4307.01, Los Angeles County, California","ca","140","00","ACSSF","0005149",,,,,"06","037",,,,"430701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4060,141,1509,2410
"06037430721","14000US06037430721","Census Tract 4307.21","Census Tract 4307.21, Los Angeles County, California","ca","140","00","ACSSF","0005150",,,,,"06","037",,,,"430721",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2782,285,1103,1394
"06037430723","14000US06037430723","Census Tract 4307.23","Census Tract 4307.23, Los Angeles County, California","ca","140","00","ACSSF","0005151",,,,,"06","037",,,,"430723",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2954,132,999,1823
